Chapter ID,Order No,Video Name,Video URL
52,4,Chemical Reactions & Important Tests � Part 1,https://www.youtube.com/watch?v=wK6D_Wic-6Q&list=PLZ9LVTcy9PK3BbB5zSNgpxw4cVqgxsHXX&index=3&pp=iAQB
52,5,Chemical Reactions & Important Tests � Part 2,https://www.youtube.com/watch?v=jD529hx0rMA&list=PLZ9LVTcy9PK3BbB5zSNgpxw4cVqgxsHXX&index=2&pp=iAQB
52,6,Diazonium Salts & Their Reactions,https://www.youtube.com/watch?v=Um90_sIuRxE&list=PLZ9LVTcy9PK3BbB5zSNgpxw4cVqgxsHXX&index=1&pp=iAQB
35,1,Intro to Subatomic Particles & Atomic Models,https://www.youtube.com/watch?v=KrD3eoO9ips&list=PLZ9LVTcy9PK0gb6FAvXGEiGKiuSVZp21x&index=8&pp=iAQB
35,2,"EM Waves, Photoelectric Effect & Planck's Quantum Theory",https://www.youtube.com/watch?v=RjYctqF7gVE&list=PLZ9LVTcy9PK0gb6FAvXGEiGKiuSVZp21x&index=7&pp=iAQB
35,3,Bohr's Atomic Model,https://www.youtube.com/watch?v=4f0CH8FJCmY&list=PLZ9LVTcy9PK0gb6FAvXGEiGKiuSVZp21x&index=6&pp=iAQB
35,4,Hydrogen Spectrum & Limitations of Bohr Model,https://www.youtube.com/watch?v=qIUqhAMlygw&list=PLZ9LVTcy9PK0gb6FAvXGEiGKiuSVZp21x&index=5&pp=iAQB
35,5,Dual Nature of Matter & Heisenberg's Uncertainty Principle,https://www.youtube.com/watch?v=0wUIgZDIn1Q&list=PLZ9LVTcy9PK0gb6FAvXGEiGKiuSVZp21x&index=4&pp=iAQB
35,6,Quantum Mechanical Model and Orbitals,https://www.youtube.com/watch?v=9fSEcXNqkB0&list=PLZ9LVTcy9PK0gb6FAvXGEiGKiuSVZp21x&index=3&pp=iAQB0gcJCSkKAYcqIYzv
35,7,"Pauli Exclusion, Aufbau, Hund's Rule & Electronic Configurations",https://www.youtube.com/watch?v=JEyCq2kl2vc&list=PLZ9LVTcy9PK0gb6FAvXGEiGKiuSVZp21x&index=2&pp=iAQB
35,8,Problem Solving Session � Complete Revision,https://www.youtube.com/watch?v=pMXsvtZovAQ&list=PLZ9LVTcy9PK0gb6FAvXGEiGKiuSVZp21x&index=1&pp=iAQB
49,1,Classification,https://www.youtube.com/watch?v=N4uizjmE5TQ&list=PLZ9LVTcy9PK3ScqpO5oAsfrgoY7kZW0tE
49,2,Nomenclature,https://www.youtube.com/watch?v=eLa8NS2lbCM&list=PLZ9LVTcy9PK3ScqpO5oAsfrgoY7kZW0tE
49,3,Preparation of Haloalkanes,https://www.youtube.com/watch?v=9UZ22gzt92k&list=PLZ9LVTcy9PK3ScqpO5oAsfrgoY7kZW0tE
49,4,Physical and Chemical Properties of Haloalkanes,https://www.youtube.com/watch?v=3VhkD8dhG-k&list=PLZ9LVTcy9PK3ScqpO5oAsfrgoY7kZW0tE
49,5,Chemical Reactions of Haloalkanes,https://www.youtube.com/watch?v=EqW8Me8mIKo&list=PLZ9LVTcy9PK3ScqpO5oAsfrgoY7kZW0tE
49,6,Haloarenes,https://www.youtube.com/watch?v=24I3j_klUKg&list=PLZ9LVTcy9PK3ScqpO5oAsfrgoY7kZW0tE
49,7,Polyhalogen Compounds,https://www.youtube.com/watch?v=IkvGmd7a4Eo&list=PLZ9LVTcy9PK3ScqpO5oAsfrgoY7kZW0tE
40,1,Oxidation & Reduction Explained,https://youtu.be/Ju5LZufypwo?si=hOw4uqcGErP2XKva
40,2,Oxidation Number � Concepts & Rules,https://youtu.be/Wo3S1CtuW08?si=_tvZRbPyj85WnxLd
40,3,Types of Redox Reactions,https://youtu.be/mSftE7bHP78?si=EtMj4GlnRZ6dhOAV
40,4,Balancing Redox Reactions,https://youtu.be/YkyEwbpjClM?si=shqxQPNlnAN1hKyH
40,5,Basics of Titration,https://youtu.be/w6g5cHoz3Ns?si=9NRtoUJD563fOTvY
40,6,Redox Reactions & Electrode Potential,https://youtu.be/ju7FaRYpZlQ?si=M5RGFpO9Ww9Kh3z-
47,1,Properties of F Block ( Part - 1 ),https://www.youtube.com/watch?v=DWDBtiAuHmM&list=PLZ9LVTcy9PK07TnprZPIoLZaeFFhGB47F&index=1&pp=iAQB
47,2,Properties of D Block ( Part - 2 ),https://www.youtube.com/watch?v=rCCWSkqGYZs&list=PLZ9LVTcy9PK07TnprZPIoLZaeFFhGB47F&index=4&pp=iAQB
47,3,Properties of D Block ( Part - 3 ),https://www.youtube.com/watch?v=-Ap4Qn_Gkos&list=PLZ9LVTcy9PK07TnprZPIoLZaeFFhGB47F&index=3&pp=iAQB
47,4,Properties of D Block ( Part - 4 ),https://www.youtube.com/watch?v=XQ0Kh2liJ4U&list=PLZ9LVTcy9PK07TnprZPIoLZaeFFhGB47F&index=2&pp=iAQB
32,1,Introduction to 3D Geometry,https://www.youtube.com/watch?v=tpA6F9GEZtU&list=PLZ9LVTcy9PK2h2VitE_Mv0MRyhazRTYpN&index=6&pp=iAQB
32,2,Straight Lines in 3D Space,https://www.youtube.com/watch?v=SGBBpvRBK_o&list=PLZ9LVTcy9PK2h2VitE_Mv0MRyhazRTYpN&index=5&pp=iAQB
32,3,Introduction to Vectors,https://www.youtube.com/watch?v=7s_CVS_TrCA&list=PLZ9LVTcy9PK2h2VitE_Mv0MRyhazRTYpN&index=4&pp=iAQB
32,4,Scalar & Vector Products (Dot & Cross),https://www.youtube.com/watch?v=vVjbHy7395g&list=PLZ9LVTcy9PK2h2VitE_Mv0MRyhazRTYpN&index=3&pp=iAQB
32,5,Vector Equation of Lines in 3D,https://www.youtube.com/watch?v=LdzfCjgNlt8&list=PLZ9LVTcy9PK2h2VitE_Mv0MRyhazRTYpN&index=2&pp=iAQB
32,6,JEE Problems on Vectors & 3D Geometry,https://www.youtube.com/watch?v=eS-Dz6SXL_A&list=PLZ9LVTcy9PK2h2VitE_Mv0MRyhazRTYpN&index=1&pp=iAQB0gcJCSkKAYcqIYzv
26,1,Introduction & Types of Matrices,https://www.youtube.com/watch?v=FSEV4mmo6qM&list=PLZ9LVTcy9PK1Y58LUy5xlF_ozQEKDkC4X&index=7&pp=iAQB
26,2,Matrix Operations & Multiplication,https://www.youtube.com/watch?v=ebpk1kwrBAE&list=PLZ9LVTcy9PK1Y58LUy5xlF_ozQEKDkC4X&index=6&pp=iAQB
26,3,"Transpose, Symmetric & Invertible Matrices",https://www.youtube.com/watch?v=m3QgVkQhdtU&list=PLZ9LVTcy9PK1Y58LUy5xlF_ozQEKDkC4X&index=5&pp=iAQB
26,4,Determinant Definition & Properties,https://www.youtube.com/watch?v=rJcRC11GJZw&list=PLZ9LVTcy9PK1Y58LUy5xlF_ozQEKDkC4X&index=4&pp=iAQB
26,5,"Minors, Cofactors & Adjoint Method",https://www.youtube.com/watch?v=h48C6gFGNlM&list=PLZ9LVTcy9PK1Y58LUy5xlF_ozQEKDkC4X&index=3&pp=iAQB0gcJCSkKAYcqIYzv
26,6,System of Equations & Matrix Method,https://www.youtube.com/watch?v=y6le4pivaIQ&list=PLZ9LVTcy9PK1Y58LUy5xlF_ozQEKDkC4X&index=2&pp=iAQB
26,7,Rank of Matrix & Cramer's Rule,https://www.youtube.com/watch?v=Wduvk_vtNeU&list=PLZ9LVTcy9PK1Y58LUy5xlF_ozQEKDkC4X&index=1&pp=iAQB
33,1,"Basics, Events & Conditional Probability",https://www.youtube.com/watch?v=yG3IQKNOXwk&list=PLZ9LVTcy9PK2Eaio0De28qJ3HdtLv3OuA&index=5&pp=iAQB
33,2,Multiplication Theorem & Independent Events,https://www.youtube.com/watch?v=RrNj7V_-WvA&list=PLZ9LVTcy9PK2Eaio0De28qJ3HdtLv3OuA&index=4&pp=iAQB
33,3,Total Probability Theorem & Bayes' Theorem,https://www.youtube.com/watch?v=NCbIH_C0TdM&list=PLZ9LVTcy9PK2Eaio0De28qJ3HdtLv3OuA&index=3&pp=iAQB
33,4,Random Variables & Probability Distributions,https://www.youtube.com/watch?v=q-Ci-StJJnA&list=PLZ9LVTcy9PK2Eaio0De28qJ3HdtLv3OuA&index=2&pp=iAQB0gcJCSkKAYcqIYzv
33,5,Mean & Variance of Random Variables,https://www.youtube.com/watch?v=-t8ccVankAM&list=PLZ9LVTcy9PK2Eaio0De28qJ3HdtLv3OuA&index=1&pp=iAQB
25,1,Introduction to Statistics & Mean of Grouped Data,https://youtu.be/rsmcBecjL68?si=ueQ0HW7Nq-wk1vx6
25,2,Median & Mode of Grouped Data,https://youtu.be/80aT7V94QoY?si=rn5-UIGx66IX1_ct
25,3,Measure of Dispersion � Mean Deviation,https://youtu.be/VEHlkomNMSQ?si=dSucQkPFvZON4gfh
25,4,Variance & Standard Deviation Explained,https://youtu.be/Kq3hkRWAYN8?si=IoS3W3sI74hfKejr
25,5,Coefficient of Variation & JEE Problems,https://youtu.be/WzkAlV6VH64?si=07mUEGI5dbxczBcv
20,1,"Factorials, nCr & (1�x)? Expansion",https://youtu.be/Fv-_y9DReEs?si=f4Yz3AXT6_-UwJHW
20,2,"(x+y)?, General Term, Middle Term & Greatest Term",https://youtu.be/J0hMCXeZunc?si=UMrr_-G_UcClUEa5
20,3,"Term Independent, Rational Terms & Sum of Coefficients",https://youtu.be/qKC_2cVHwpA?si=Kv4s_Zlpza7IVDl2
20,4,"Divisibility, Last Digit, Remainders & Applications",https://youtu.be/MIzalxPBc1g?si=kCnWieXMLxaHMpLI
18,1,Introduction & Finding Roots,https://youtu.be/yXQpEbEi7uk?si=yCZ6BtO-ibNcnELv
18,2,Discriminant & Nature of Roots,https://youtu.be/o57xIU1VUnY?si=Suzf_TP5TzSSh6SC
18,3,Transformation of Roots Explained,https://youtu.be/JOg6USiGQiE?si=xjxKx24CBNEdI-C-
18,4,Solving Quadratic Inequalities,https://youtu.be/Mm32Ln2cIWU?si=bP88cVnUFE0clD14
23,5,Introduction to Conics,https://youtu.be/UbitkLbmwsw?si=lSH2z7BeyEYAgt7u
23,6,Types of Parabola,https://youtu.be/vcqtTBwNl5c?si=H8Y-E2_NpXS_MJ1M
23,7,Properties of parabola,https://youtu.be/es1gp7QksCc?si=CDbX50HtcB90i058
19,1,Principles of Counting,https://www.youtube.com/watch?v=OGbwkRR8Ib8&list=PLZ9LVTcy9PK0D_n8InSYfV1enU69GLszH&index=1&pp=iAQB2AYR
19,2,Permutations Part-1,https://www.youtube.com/watch?v=GAZnSa5xUeY&list=PLZ9LVTcy9PK0D_n8InSYfV1enU69GLszH&index=2&pp=iAQB
19,3,Permutations Part-2,https://www.youtube.com/watch?v=9QNmCHxJssQ&list=PLZ9LVTcy9PK0D_n8InSYfV1enU69GLszH&index=3&pp=iAQB
19,4,Permutations Part-3,https://www.youtube.com/watch?v=JwHIDIRBd6U&list=PLZ9LVTcy9PK0D_n8InSYfV1enU69GLszH&index=4&pp=iAQB
19,5,Circular Permutations,https://www.youtube.com/watch?v=LIyVelG2Ykg&list=PLZ9LVTcy9PK0D_n8InSYfV1enU69GLszH&index=5&pp=iAQB
19,6,Combinations 1,https://www.youtube.com/watch?v=CuxHa5yeQu4&list=PLZ9LVTcy9PK0D_n8InSYfV1enU69GLszH&index=6&pp=iAQB
19,7,Combinations Part-2,https://www.youtube.com/watch?v=mvpqUv5KVJU&list=PLZ9LVTcy9PK0D_n8InSYfV1enU69GLszH&index=7&pp=iAQB
19,8,Combinations Part-3,https://www.youtube.com/watch?v=1JBMQxBgBIU&list=PLZ9LVTcy9PK0D_n8InSYfV1enU69GLszH&index=8&pp=iAQB
19,9,Combinations Part 4,https://www.youtube.com/watch?v=UMZ2k5kMubc&list=PLZ9LVTcy9PK0D_n8InSYfV1enU69GLszH&index=9&pp=iAQB
19,10,Problem Solving,https://www.youtube.com/watch?v=w2_4pz7suuE&list=PLZ9LVTcy9PK0D_n8InSYfV1enU69GLszH&index=10&pp=iAQB
